"","age","gender","country","state","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence","info_date","info_time"
"304",26,"male","canada","na","no","no","no","na","100-500","yes","yes","yes","not sure","don't know","yes","don't know","somewhat easy","no","no","some of them","some of them","no","no","yes","no",1970-01-01,"11:37:59"
"305",26,"female","israel","na","no","yes","no","never","100-500","no","yes","don't know","no","don't know","don't know","don't know","don't know","maybe","no","some of them","no","no","no","yes","no",1970-01-01,"11:37:59"
"306",26,"male","united states","ny","no","no","no","never","26-100","no","yes","don't know","not sure","no","no","don't know","don't know","yes","yes","some of them","no","no","no","no","no",1970-01-01,"11:37:59"
"307",26,"male","united states","ca","no","yes","yes","sometimes","more than 1000","no","yes","yes","no","yes","don't know","don't know","somewhat difficult","yes","maybe","no","no","no","maybe","no","no",1970-01-01,"11:37:59"
"308",26,"female","germany","na","yes","no","yes","sometimes","44372","yes","yes","no","not sure","yes","yes","yes","very easy","no","no","some of them","some of them","maybe","maybe","yes","no",1970-01-01,"11:37:59"
"309",26,"male","canada","na","no","no","no","sometimes","44372","yes","yes","no","no","no","no","don't know","very difficult","yes","maybe","some of them","some of them","no","maybe","don't know","no",1970-01-01,"11:37:59"
"310",26,"male","united kingdom","na","yes","no","yes","rarely","44201","yes","yes","no","not sure","don't know","don't know","don't know","somewhat difficult","no","no","yes","yes","maybe","maybe","yes","no",1970-01-01,"11:37:59"
"311",26,"male","india","na","yes","no","no","na","100-500","no","yes","no","no","no","no","yes","very easy","no","no","some of them","yes","no","no","yes","no",1970-01-01,"11:37:59"
"312",26,"male","united states","wa","no","yes","yes","sometimes","more than 1000","no","yes","don't know","not sure","no","yes","yes","very difficult","maybe","no","some of them","some of them","yes","yes","no","yes",1970-01-01,"11:37:59"
"313",26,"male","united states","ca","no","no","yes","rarely","more than 1000","no","yes","yes","not sure","don't know","don't know","don't know","don't know","no","no","some of them","some of them","no","maybe","no","no",1970-01-01,"11:38:00"
"314",26,"female","united kingdom","na","yes","yes","yes","sometimes","44201","yes","yes","no","no","no","no","don't know","very easy","maybe","no","some of them","yes","no","maybe","yes","no",1970-01-01,"11:38:00"
"315",26,"male","germany","na","no","no","no","na","500-1000","no","yes","don't know","no","don't know","don't know","don't know","don't know","no","no","some of them","some of them","maybe","maybe","don't know","no",1970-01-01,"11:38:00"
"316",26,"male","belgium","na","no","no","no","never","44372","no","yes","yes","no","no","no","no","somewhat easy","maybe","no","no","no","no","no","don't know","no",1970-01-01,"11:38:00"
"317",26,"female","united states","oh","no","no","yes","sometimes","26-100","yes","yes","don't know","no","no","don't know","don't know","don't know","maybe","no","some of them","no","maybe","maybe","don't know","yes",1970-01-01,"11:38:00"
"318",26,"female","united states","ny","no","no","no","na","44372","no","yes","don't know","not sure","no","no","don't know","somewhat easy","no","no","yes","yes","no","maybe","yes","no",1970-01-01,"11:38:00"
"319",26,"male","united states","mn","no","yes","no","na","44372","no","yes","don't know","not sure","no","no","don't know","don't know","no","no","some of them","yes","no","no","yes","no",1970-01-01,"11:38:00"
"320",26,"male","australia","na","no","yes","yes","sometimes","26-100","yes","yes","no","no","no","no","yes","don't know","no","no","yes","yes","no","maybe","yes","no",1970-01-01,"11:38:00"
"321",26,"male","united states","wa","no","no","yes","sometimes","44372","no","yes","yes","yes","no","no","yes","don't know","maybe","no","some of them","no","no","maybe","don't know","no",1970-01-01,"11:38:00"
"322",26,"female","canada","na","no","yes","yes","sometimes","100-500","no","yes","yes","not sure","no","no","yes","don't know","maybe","no","some of them","no","no","maybe","don't know","no",1970-01-01,"11:38:00"
"323",26,"female","united states","wa","no","yes","yes","sometimes","more than 1000","no","yes","yes","yes","no","no","don't know","don't know","no","no","some of them","yes","no","maybe","no","yes",1970-01-01,"11:38:00"
"324",26,"male","united states","pa","no","no","no","never","more than 1000","no","no","yes","yes","no","don't know","don't know","somewhat difficult","maybe","no","no","yes","no","no","don't know","no",1970-01-01,"11:38:00"
"325",26,"male","united states","oh","no","yes","no","sometimes","100-500","no","yes","don't know","not sure","no","no","don't know","don't know","maybe","no","some of them","no","no","maybe","don't know","no",1970-01-01,"11:38:00"
"326",26,"male","australia","na","no","yes","yes","rarely","26-100","no","yes","no","no","don't know","don't know","don't know","very easy","no","no","yes","yes","maybe","yes","yes","no",1970-01-01,"11:38:01"
"327",26,"male","germany","na","yes","yes","yes","often","44201","no","yes","no","no","no","no","don't know","don't know","maybe","no","yes","yes","maybe","yes","no","yes",1970-01-01,"11:38:01"
"328",26,"male","moldova","na","no","no","yes","often","26-100","no","yes","no","yes","no","no","yes","very difficult","no","no","yes","yes","yes","yes","don't know","no",1970-01-01,"11:38:03"
"329",26,"female","united states","ny","no","yes","no","sometimes","26-100","yes","yes","don't know","no","no","no","don't know","don't know","maybe","no","no","no","no","no","don't know","no",1970-01-01,"11:38:03"
"330",26,"male","united kingdom","na","no","no","n","never","44372","no","yes","no","no","no","no","don't know","don't know","yes","maybe","some of them","no","no","maybe","don't know","no",1970-01-01,"11:38:04"
"331",26,"male","united states","tx","no","yes","yes","sometimes","44372","yes","yes","don't know","no","no","don't know","don't know","somewhat easy","maybe","no","some of them","some of them","maybe","maybe","don't know","no",1970-01-01,"11:38:06"
"332",26,"male","colombia","na","no","no","n","often","44372","no","yes","no","no","no","no","no","very difficult","yes","no","no","no","no","maybe","yes","no",1970-01-01,"11:38:10"
"333",26,"female","united states","mi","no","yes","y","rarely","100-500","no","yes","yes","no","no","no","don't know","don't know","maybe","maybe","no","no","no","maybe","no","no",1970-01-01,"11:38:22"
"334",27,"male","canada","na","na","no","no","never","44372","no","yes","don't know","not sure","don't know","don't know","don't know","somewhat easy","no","no","some of them","some of them","maybe","yes","yes","no",1970-01-01,"11:37:58"
"335",27,"male","united states","ny","no","no","yes","rarely","44372","no","yes","no","yes","no","no","don't know","very easy","no","no","yes","yes","maybe","maybe","don't know","no",1970-01-01,"11:37:58"
"336",27,"male","canada","na","no","yes","yes","sometimes","44201","no","yes","no","yes","no","no","yes","very difficult","maybe","no","some of them","no","no","no","yes","no",1970-01-01,"11:37:58"
"337",27,"male","united states","ny","no","yes","yes","rarely","26-100","no","yes","yes","yes","no","no","yes","don't know","maybe","no","no","no","no","no","don't know","no",1970-01-01,"11:37:58"
"338",27,"male","united kingdom","na","no","no","no","never","100-500","no","yes","yes","not sure","no","yes","don't know","somewhat easy","no","no","yes","yes","maybe","maybe","yes","no",1970-01-01,"11:37:58"
"339",27,"female","united states","ny","yes","no","yes","often","44201","yes","yes","yes","yes","yes","yes","yes","very easy","maybe","maybe","some of them","yes","no","maybe","yes","no",1970-01-01,"11:37:58"
"340",27,"male","canada","na","no","no","no","rarely","44372","no","no","yes","yes","yes","yes","yes","very easy","maybe","no","some of them","yes","no","no","don't know","no",1970-01-01,"11:37:58"
"341",27,"male","canada","na","no","no","yes","never","100-500","no","no","yes","not sure","no","no","don't know","very difficult","maybe","no","some of them","yes","no","maybe","no","yes",1970-01-01,"11:37:58"
"342",27,"male","united states","wa","no","yes","no","never","500-1000","no","yes","yes","no","yes","yes","yes","don't know","yes","no","some of them","no","no","yes","don't know","no",1970-01-01,"11:37:58"
"343",27,"male","united kingdom","na","no","no","no","0","44372","no","yes","no","no","no","no","don't know","don't know","no","no","some of them","some of them","no","no","don't know","no",1970-01-01,"11:37:58"
"344",27,"male","united states","ne","no","no","no","0","26-100","no","yes","don't know","not sure","don't know","don't know","don't know","don't know","no","no","yes","yes","maybe","maybe","don't know","no",1970-01-01,"11:37:58"
"345",27,"male","united states","ca","no","yes","yes","sometimes","more than 1000","no","yes","don't know","no","no","don't know","don't know","don't know","no","no","no","some of them","no","maybe","don't know","no",1970-01-01,"11:37:58"
"346",27,"male","united states","ut","no","no","yes","rarely","26-100","yes","yes","no","yes","no","no","don't know","somewhat difficult","maybe","no","some of them","yes","no","no","don't know","yes",1970-01-01,"11:37:58"
"347",27,"female","united kingdom","na","yes","yes","no","na","44201","yes","yes","no","yes","no","no","yes","somewhat easy","no","no","yes","yes","no","maybe","yes","no",1970-01-01,"11:37:58"
"348",27,"male","united states","tn","no","yes","no","na","44372","yes","yes","yes","yes","no","no","don't know","somewhat easy","maybe","maybe","some of them","some of them","no","maybe","yes","no",1970-01-01,"11:37:58"
"349",27,"female","united states","or","no","yes","yes","sometimes","26-100","no","yes","yes","no","no","no","don't know","very easy","no","no","some of them","some of them","no","no","yes","no",1970-01-01,"11:37:58"
"350",27,"female","united states","mi","yes","yes","yes","sometimes","44201","yes","yes","no","no","don't know","don't know","don't know","very difficult","no","no","some of them","no","no","no","don't know","no",1970-01-01,"11:37:58"
"351",27,"male","united states","ga","no","no","no","never","more than 1000","yes","yes","yes","yes","don't know","don't know","yes","somewhat easy","no","no","some of them","yes","maybe","maybe","yes","no",1970-01-01,"11:37:58"
"352",27,"male","united kingdom","na","no","no","no","na","100-500","no","no","don't know","not sure","don't know","don't know","no","very easy","maybe","maybe","yes","yes","no","no","don't know","no",1970-01-01,"11:37:58"
"353",27,"female","united states","tx","no","no","yes","rarely","44372","no","yes","yes","no","no","no","yes","don't know","maybe","maybe","yes","no","no","maybe","don't know","no",1970-01-01,"11:37:58"
"354",27,"male","canada","na","no","no","no","sometimes","44372","yes","yes","no","yes","no","no","no","very difficult","yes","yes","some of them","some of them","no","maybe","no","no",1970-01-01,"11:37:58"
"355",27,"male","portugal","na","no","no","no","never","44372","no","yes","no","no","no","no","yes","don't know","yes","no","no","no","no","maybe","don't know","no",1970-01-01,"11:37:58"
"356",27,"male","united kingdom","na","no","yes","yes","sometimes","44372","no","yes","no","no","no","no","yes","somewhat easy","maybe","maybe","yes","yes","yes","yes","yes","no",1970-01-01,"11:37:58"
"357",27,"male","united states","tn","no","no","no","sometimes","100-500","no","yes","yes","not sure","yes","yes","don't know","don't know","maybe","no","some of them","yes","no","maybe","don't know","no",1970-01-01,"11:37:58"
"358",27,"male","united states","ca","no","yes","no","na","more than 1000","no","yes","don't know","no","don't know","don't know","don't know","very easy","no","no","yes","yes","maybe","maybe","yes","no",1970-01-01,"11:37:58"
"359",27,"male","united states","ca","no","no","no","sometimes","more than 1000","no","yes","don't know","not sure","don't know","don't know","don't know","very easy","yes","no","no","no","no","maybe","no","no",1970-01-01,"11:37:58"
"360",27,"male","united states","ma","no","no","yes","sometimes","more than 1000","no","yes","yes","yes","yes","yes","yes","don't know","no","no","no","no","no","yes","yes","no",1970-01-01,"11:37:58"
"361",27,"female","united states","wa","no","no","yes","rarely","more than 1000","no","yes","yes","yes","no","no","yes","don't know","yes","maybe","no","no","no","no","no","no",1970-01-01,"11:37:58"
"362",27,"male","united states","ca","no","no","yes","rarely","more than 1000","no","yes","yes","no","yes","yes","yes","don't know","no","no","some of them","yes","no","maybe","yes","no",1970-01-01,"11:37:58"
"363",27,"female","united states","co","no","yes","yes","rarely","more than 1000","yes","yes","yes","yes","no","don't know","don't know","don't know","maybe","maybe","no","yes","no","no","don't know","no",1970-01-01,"11:37:58"
"364",27,"female","united states","ca","no","no","yes","sometimes","26-100","no","yes","don't know","not sure","no","no","don't know","somewhat difficult","maybe","maybe","some of them","some of them","no","no","don't know","no",1970-01-01,"11:37:58"
"365",27,"male","united states","or","no","yes","yes","sometimes","100-500","no","yes","don't know","not sure","no","don't know","don't know","don't know","yes","no","no","no","no","yes","don't know","no",1970-01-01,"11:37:58"
"366",27,"male","brazil","na","no","no","no","rarely","44372","no","yes","no","yes","no","no","don't know","somewhat easy","maybe","no","some of them","some of them","no","maybe","no","no",1970-01-01,"11:37:58"
"367",27,"male","united states","tx","no","yes","yes","sometimes","44372","yes","yes","don't know","no","yes","don't know","don't know","somewhat easy","yes","no","some of them","yes","no","maybe","yes","no",1970-01-01,"11:37:58"
"368",27,"male","germany","na","no","yes","yes","sometimes","44372","no","yes","no","not sure","no","no","don't know","somewhat difficult","yes","maybe","some of them","no","no","no","no","yes",1970-01-01,"11:37:58"
"369",27,"male","israel","na","no","no","no","na","26-100","no","yes","no","no","no","no","don't know","somewhat difficult","yes","no","some of them","no","no","maybe","no","yes",1970-01-01,"11:37:58"
"370",27,"male","united kingdom","na","no","no","no","na","44372","no","yes","no","no","no","no","don't know","don't know","no","no","some of them","yes","no","yes","don't know","no",1970-01-01,"11:37:58"
"371",27,"female","hungary","na","yes","yes","no","sometimes","44201","yes","yes","no","no","no","no","no","very difficult","yes","maybe","no","no","no","maybe","no","no",1970-01-01,"11:37:58"
"372",27,"female","australia","na","no","yes","yes","sometimes","44372","no","yes","no","yes","no","no","no","somewhat difficult","yes","no","some of them","some of them","no","no","no","no",1970-01-01,"11:37:58"
"373",27,"male","united kingdom","na","no","no","no","never","44372","no","yes","don't know","no","no","no","don't know","don't know","maybe","maybe","some of them","some of them","no","no","don't know","no",1970-01-01,"11:37:58"
"374",27,"female","new zealand","na","no","yes","yes","rarely","100-500","yes","yes","no","no","no","no","don't know","somewhat easy","maybe","maybe","some of them","some of them","no","yes","don't know","no",1970-01-01,"11:37:58"
"375",27,"male","united states","or","no","yes","yes","sometimes","100-500","yes","yes","don't know","no","no","don't know","don't know","don't know","no","no","some of them","no","no","no","yes","no",1970-01-01,"11:37:58"
"376",27,"female","united states","ny","no","no","no","sometimes","500-1000","no","yes","don't know","not sure","don't know","yes","don't know","don't know","no","no","some of them","yes","no","no","yes","no",1970-01-01,"11:37:58"
"377",27,"male","singapore","na","no","no","no","sometimes","44201","yes","yes","no","no","no","no","yes","don't know","yes","no","some of them","yes","no","no","no","no",1970-01-01,"11:37:58"
"378",27,"male","australia","na","no","no","yes","often","100-500","yes","yes","no","no","no","no","don't know","don't know","maybe","no","some of them","no","no","maybe","no","yes",1970-01-01,"11:37:58"
"379",27,"male","united states","pa","no","no","no","na","more than 1000","no","yes","yes","not sure","don't know","don't know","yes","don't know","maybe","maybe","no","no","no","maybe","no","no",1970-01-01,"11:37:58"
"380",27,"male","united states","ny","no","no","no","na","26-100","no","yes","don't know","no","no","no","don't know","don't know","no","no","yes","yes","no","maybe","yes","no",1970-01-01,"11:37:58"
"381",27,"male","australia","na","no","no","no","never","44201","yes","yes","no","no","no","no","don't know","don't know","yes","no","no","no","no","maybe","don't know","no",1970-01-01,"11:37:58"
"382",27,"male","united kingdom","na","no","no","no","never","44201","no","yes","don't know","no","no","don't know","don't know","don't know","no","no","some of them","yes","maybe","maybe","don't know","no",1970-01-01,"11:37:59"
"383",27,"female","united kingdom","na","no","no","yes","sometimes","44372","yes","yes","don't know","not sure","yes","don't know","yes","very easy","no","no","yes","yes","maybe","maybe","yes","no",1970-01-01,"11:37:59"
"384",27,"male","france","na","no","no","no","na","44372","no","yes","don't know","not sure","don't know","don't know","don't know","don't know","no","no","yes","yes","no","no","yes","no",1970-01-01,"11:37:59"
"385",27,"male","united states","mn","no","no","no","na","26-100","no","yes","yes","not sure","no","don't know","don't know","don't know","no","no","yes","yes","no","no","don't know","no",1970-01-01,"11:37:59"
"386",27,"male","united kingdom","na","no","no","no","na","44372","no","yes","no","no","no","yes","yes","don't know","maybe","no","yes","some of them","no","yes","yes","no",1970-01-01,"11:37:59"
"387",27,"female","united states","ca","no","no","yes","sometimes","100-500","no","yes","don't know","not sure","yes","don't know","don't know","somewhat easy","yes","no","some of them","no","no","maybe","no","no",1970-01-01,"11:37:59"
"388",27,"male","united kingdom","na","no","no","no","never","26-100","no","yes","don't know","not sure","no","don't know","don't know","somewhat easy","no","no","some of them","no","yes","yes","don't know","no",1970-01-01,"11:37:59"
"389",27,"female","united states","wa","no","no","no","na","more than 1000","no","yes","don't know","not sure","no","yes","don't know","don't know","maybe","no","some of them","yes","no","no","don't know","no",1970-01-01,"11:37:59"
"390",27,"male","switzerland","na","no","yes","no","na","26-100","no","yes","no","no","no","no","don't know","don't know","maybe","no","some of them","yes","no","yes","no","no",1970-01-01,"11:37:59"
"391",27,"male","united states","in","no","no","no","na","26-100","yes","yes","don't know","not sure","no","don't know","don't know","very easy","no","no","yes","yes","maybe","maybe","yes","no",1970-01-01,"11:37:59"
"392",27,"male","france","na","no","yes","no","na","500-1000","no","no","yes","yes","don't know","no","yes","somewhat easy","maybe","maybe","no","some of them","no","maybe","don't know","yes",1970-01-01,"11:38:00"
"393",27,"male","canada","na","no","no","no","never","26-100","no","yes","yes","not sure","yes","no","yes","very easy","no","no","yes","yes","maybe","maybe","yes","no",1970-01-01,"11:38:00"
"394",27,"male","sweden","na","no","no","no","na","44372","no","yes","no","no","no","no","don't know","don't know","no","no","no","no","no","no","don't know","no",1970-01-01,"11:38:00"
"395",27,"male","united states","ca","no","no","no","never","44372","no","yes","don't know","no","no","don't know","don't know","don't know","maybe","no","some of them","yes","maybe","maybe","don't know","no",1970-01-01,"11:38:00"
"396",27,"male","united states","ca","no","no","yes","sometimes","100-500","no","yes","don't know","not sure","no","no","yes","very difficult","maybe","no","some of them","no","no","maybe","no","no",1970-01-01,"11:38:00"
"397",27,"female","united states","wa","no","yes","yes","often","more than 1000","no","yes","yes","yes","yes","yes","yes","very difficult","maybe","no","yes","some of them","no","maybe","no","yes",1970-01-01,"11:38:00"
"398",27,"male","new zealand","na","no","no","no","rarely","26-100","no","yes","no","yes","no","yes","no","somewhat difficult","yes","no","no","no","no","maybe","no","yes",1970-01-01,"11:38:02"
"399",27,"male","new zealand","na","no","no","no","rarely","26-100","no","yes","no","yes","no","yes","no","somewhat difficult","yes","no","no","no","no","maybe","no","yes",1970-01-01,"11:38:02"
"400",27,"male","united kingdom","na","no","no","yes","sometimes","more than 1000","no","no","no","no","no","no","yes","somewhat easy","maybe","no","yes","yes","maybe","maybe","no","no",1970-01-01,"11:38:03"
"401",27,"female","united kingdom","na","no","yes","no","na","more than 1000","no","no","no","yes","no","no","yes","don't know","maybe","no","no","no","no","yes","yes","no",1970-01-01,"11:38:03"
"402",27,"female","united states","ok","no","no","no","never","100-500","no","no","don't know","not sure","don't know","don't know","don't know","don't know","no","no","some of them","yes","no","no","yes","no",1970-01-01,"11:39:08"
"403",28,"male","united kingdom","na","no","no","no","na","26-100","no","yes","don't know","not sure","no","no","don't know","don't know","no","maybe","some of them","yes","maybe","yes","don't know","no",1970-01-01,"11:37:58"
"404",28,"male","switzerland","na","no","no","no","na","100-500","no","yes","no","no","no","no","don't know","don't know","no","no","no","no","no","maybe","don't know","no",1970-01-01,"11:37:58"
"405",28,"male","france","na","no","no","no","never","26-100","no","yes","no","no","no","no","don't know","don't know","maybe","no","some of them","some of them","no","no","don't know","no",1970-01-01,"11:37:58"
"406",28,"male","germany","na","no","no","no","never","44372","yes","yes","don't know","no","don't know","don't know","don't know","very easy","no","no","some of them","some of them","maybe","yes","yes","no",1970-01-01,"11:37:58"
"407",28,"male","brazil","na","no","yes","yes","rarely","44372","no","yes","no","no","no","no","no","don't know","maybe","no","yes","yes","no","no","don't know","yes",1970-01-01,"11:37:58"
"408",28,"male","united states","ca","no","no","yes","sometimes","26-100","no","yes","yes","yes","yes","yes","yes","somewhat easy","no","no","some of them","some of them","no","maybe","yes","no",1970-01-01,"11:37:58"
"409",28,"male","united states","tx","no","no","no","na","more than 1000","no","yes","don't know","no","no","don't know","don't know","don't know","maybe","no","some of them","no","no","maybe","don't know","no",1970-01-01,"11:37:58"
"410",28,"male","united kingdom","na","no","no","no","never","44372","no","yes","don't know","no","no","no","yes","very easy","no","no","some of them","yes","maybe","maybe","yes","no",1970-01-01,"11:37:58"
"411",28,"male","poland","na","no","no","no","rarely","44372","yes","yes","no","no","no","no","don't know","don't know","no","no","yes","yes","maybe","yes","yes","no",1970-01-01,"11:37:58"
"412",28,"male","united kingdom","na","no","no","no","na","100-500","no","no","no","not sure","no","yes","yes","somewhat easy","no","no","some of them","some of them","maybe","maybe","yes","no",1970-01-01,"11:37:58"
"413",28,"female","united kingdom","na","no","no","no","never","26-100","no","yes","don't know","no","no","don't know","yes","somewhat easy","no","no","yes","yes","maybe","maybe","don't know","no",1970-01-01,"11:37:58"
"414",28,"male","united states","mi","no","yes","yes","sometimes","26-100","no","yes","yes","no","no","no","don't know","somewhat easy","maybe","maybe","some of them","no","no","maybe","no","no",1970-01-01,"11:37:58"
"415",28,"male","russia","na","no","no","no","sometimes","26-100","no","yes","no","no","no","no","don't know","don't know","yes","maybe","no","no","no","maybe","don't know","no",1970-01-01,"11:37:58"
"416",28,"male","united kingdom","na","no","yes","yes","sometimes","more than 1000","no","yes","don't know","no","no","no","don't know","don't know","maybe","maybe","some of them","no","no","maybe","don't know","no",1970-01-01,"11:37:58"
"417",28,"male","united states","pa","no","no","no","rarely","44372","no","yes","don't know","no","no","no","don't know","don't know","no","no","some of them","some of them","no","maybe","don't know","no",1970-01-01,"11:37:58"
"418",28,"male","united states","mi","no","no","yes","sometimes","more than 1000","no","yes","no","yes","no","no","yes","very difficult","yes","no","no","some of them","no","no","no","no",1970-01-01,"11:37:58"
"419",28,"female","canada","na","no","yes","yes","sometimes","44372","no","no","yes","yes","yes","yes","yes","don't know","no","no","some of them","yes","no","no","no","yes",1970-01-01,"11:37:58"
"420",28,"male","united states","ga","no","yes","no","na","100-500","no","yes","yes","no","no","don't know","yes","somewhat easy","no","no","some of them","yes","no","maybe","yes","yes",1970-01-01,"11:37:58"
"421",28,"male","colombia","na","no","no","no","sometimes","44372","no","yes","no","yes","no","no","don't know","somewhat easy","maybe","maybe","no","some of them","no","no","don't know","no",1970-01-01,"11:37:58"
"422",28,"male","united states","mn","no","no","yes","rarely","100-500","no","no","yes","yes","yes","don't know","don't know","very easy","maybe","no","some of them","some of them","no","no","yes","no",1970-01-01,"11:37:58"
"423",28,"female","united states","wa","no","yes","yes","often","100-500","yes","no","yes","yes","yes","yes","yes","somewhat easy","yes","no","some of them","yes","no","no","yes","no",1970-01-01,"11:37:58"
"424",28,"male","united states","ga","no","yes","yes","sometimes","more than 1000","no","yes","don't know","not sure","no","don't know","don't know","somewhat difficult","maybe","maybe","no","no","no","no","no","no",1970-01-01,"11:37:58"
"425",28,"male","united states","nj","no","yes","yes","sometimes","26-100","no","yes","yes","yes","no","no","don't know","don't know","maybe","no","some of them","no","no","maybe","no","no",1970-01-01,"11:37:58"
"426",28,"male","germany","na","no","yes","yes","rarely","44201","yes","yes","yes","no","no","no","yes","very easy","no","no","yes","yes","no","no","yes","no",1970-01-01,"11:37:58"
"427",28,"male","new zealand","na","no","yes","yes","sometimes","44372","yes","yes","yes","yes","yes","no","don't know","very easy","no","no","yes","yes","yes","yes","yes","no",1970-01-01,"11:37:58"
"428",28,"female","united states","ny","no","no","yes","rarely","more than 1000","no","no","yes","yes","no","don't know","don't know","don't know","maybe","no","no","no","no","no","don't know","no",1970-01-01,"11:37:58"
"429",28,"male","canada","na","yes","no","no","never","100-500","yes","yes","don't know","no","no","no","don't know","somewhat easy","maybe","no","some of them","yes","no","no","yes","no",1970-01-01,"11:37:58"
"430",28,"male","united states","tn","no","no","no","never","44372","no","yes","don't know","no","no","don't know","don't know","don't know","no","no","some of them","yes","no","no","don't know","no",1970-01-01,"11:37:58"
"431",28,"male","united states","ut","no","no","no","sometimes","44372","yes","yes","no","yes","no","no","don't know","somewhat easy","yes","maybe","some of them","no","no","no","don't know","no",1970-01-01,"11:37:58"
"432",28,"male","united kingdom","na","no","no","yes","sometimes","more than 1000","no","yes","no","no","no","no","no","very difficult","yes","maybe","no","some of them","no","maybe","no","no",1970-01-01,"11:37:58"
"433",28,"female","united states","ny","no","yes","yes","sometimes","26-100","no","yes","don't know","not sure","no","no","don't know","don't know","yes","maybe","some of them","no","no","maybe","don't know","no",1970-01-01,"11:37:58"
"434",28,"female","united states","ca","no","yes","yes","often","100-500","yes","yes","yes","no","no","don't know","don't know","don't know","yes","yes","some of them","some of them","no","no","no","yes",1970-01-01,"11:37:58"
"435",28,"unknown","united kingdom","na","no","yes","yes","rarely","100-500","no","yes","no","not sure","no","no","yes","somewhat difficult","yes","yes","some of them","some of them","yes","no","no","yes",1970-01-01,"11:37:58"
"436",28,"male","united states","ga","no","no","yes","sometimes","more than 1000","no","yes","yes","yes","no","no","yes","somewhat difficult","maybe","no","some of them","no","no","maybe","no","no",1970-01-01,"11:37:58"
"437",28,"female","united states","ca","no","yes","yes","rarely","500-1000","no","yes","yes","yes","yes","yes","don't know","somewhat difficult","maybe","no","no","some of them","no","no","no","no",1970-01-01,"11:37:59"
"438",28,"male","united states","mi","no","yes","yes","sometimes","26-100","yes","yes","yes","not sure","no","don't know","don't know","don't know","yes","no","some of them","some of them","no","no","don't know","yes",1970-01-01,"11:37:59"
"439",28,"male","germany","na","no","no","no","never","26-100","no","yes","no","no","no","no","don't know","somewhat easy","no","no","some of them","some of them","yes","yes","don't know","no",1970-01-01,"11:37:59"
"440",28,"male","united states","il","no","no","yes","sometimes","26-100","yes","no","don't know","not sure","no","don't know","don't know","don't know","no","no","some of them","yes","no","maybe","don't know","no",1970-01-01,"11:37:59"
"441",28,"male","united states","nm","no","no","no","na","26-100","yes","yes","don't know","no","no","no","don't know","don't know","maybe","no","some of them","no","no","no","don't know","no",1970-01-01,"11:37:59"
"442",28,"female","canada","na","no","no","no","na","more than 1000","no","yes","yes","not sure","don't know","don't know","don't know","somewhat easy","no","no","some of them","yes","no","no","don't know","no",1970-01-01,"11:37:59"
"443",28,"male","canada","na","no","no","no","na","44372","no","yes","yes","not sure","no","don't know","yes","very easy","no","no","some of them","yes","maybe","maybe","yes","no",1970-01-01,"11:37:59"
"444",28,"male","united kingdom","na","no","no","no","never","26-100","no","yes","don't know","not sure","no","no","don't know","somewhat easy","no","no","some of them","yes","maybe","yes","don't know","no",1970-01-01,"11:37:59"
"445",28,"male","united kingdom","na","no","no","no","na","more than 1000","no","no","don't know","not sure","no","don't know","don't know","don't know","no","no","some of them","some of them","yes","yes","no","no",1970-01-01,"11:37:59"
"446",28,"male","brazil","na","no","no","no","na","26-100","no","yes","don't know","no","no","no","don't know","don't know","maybe","no","some of them","yes","maybe","yes","no","yes",1970-01-01,"11:37:59"
"447",28,"female","united states","ca","no","no","yes","sometimes","26-100","no","yes","no","yes","no","no","don't know","somewhat difficult","yes","maybe","some of them","some of them","no","no","no","yes",1970-01-01,"11:37:59"
"448",28,"male","united states","nv","no","no","yes","never","44372","yes","yes","no","yes","no","no","don't know","don't know","maybe","maybe","some of them","some of them","no","no","don't know","no",1970-01-01,"11:37:59"
"449",28,"male","united states","tn","no","yes","no","sometimes","44372","no","yes","don't know","not sure","no","don't know","don't know","somewhat easy","no","no","some of them","yes","no","yes","don't know","no",1970-01-01,"11:37:59"
"450",28,"male","united states","ca","no","yes","yes","sometimes","26-100","no","no","yes","no","no","no","don't know","don't know","maybe","maybe","some of them","some of them","no","no","yes","no",1970-01-01,"11:37:59"
"451",28,"male","united states","wa","no","yes","yes","rarely","more than 1000","no","yes","yes","yes","don't know","don't know","don't know","don't know","maybe","no","some of them","no","no","no","no","no",1970-01-01,"11:37:59"
"452",28,"male","united states","wa","no","yes","yes","sometimes","more than 1000","no","yes","don't know","no","don't know","don't know","don't know","somewhat easy","maybe","no","some of them","no","no","maybe","no","no",1970-01-01,"11:37:59"
"453",28,"male","united kingdom","na","no","yes","yes","often","26-100","no","yes","no","no","no","no","don't know","somewhat easy","maybe","maybe","yes","yes","no","no","no","no",1970-01-01,"11:38:00"
"454",28,"male","united states","ny","no","yes","yes","often","100-500","no","yes","don't know","not sure","no","don't know","don't know","don't know","maybe","no","some of them","some of them","no","yes","don't know","no",1970-01-01,"11:38:00"
"455",28,"male","united kingdom","na","no","no","no","often","44372","no","yes","no","no","no","no","no","somewhat difficult","yes","no","no","no","no","yes","yes","no",1970-01-01,"11:38:00"
